advertised_top_app_share,alert_filter_reasons,alert_id,alert_tier,app_count,audience,avg_daily_installs,avg_rating,collection_sort,core_mechanic,data_quality_components,data_quality_reasons,data_quality_score,giant_developer_share,group_key,growth_by_one_app_share,has_history,history_depth_days,market_category,meta,min_app_daily_installs,monthly_growth_percent,new_apps_count,niche,opportunity_score,platform,previous_total_daily_installs,production_complexity,reason_codes,recently_updated_count,release_date_window,score_components,signal_signature,snapshot_date,source_scope,successful_new_apps_count,theme,top_app_share,total_daily_installs,total_monthly_downloads,total_monthly_revenue,weekly_growth_percent
0.0,['baseline_only'],2026-06-04:sort_puzzle_sort_supermarket_levels_broad:bfe23a18f0:last_180d,REJECTED,6,broad,4368.83,4.28,-release_date,sort,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 12.71, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],87.71,0.2676,google_play::sort puzzle::puzzle::sort::supermarket::levels::broad::low,0.0,False,0,puzzle,levels,500,0.0,6,sort puzzle,78.09,google_play,0,low,"['demand_signal', 'fresh_successes', 'monetization_signal', 'small_team_fit']",6,last_180d,"{'demand': 22.09, 'freshness': 15.0, 'revenue': 14.1, 'rating': 8.64, 'production': 14.0, 'data_quality': 17.54, 'competition_penalty': 6.59, 'giant_risk_penalty': 6.69, 'paid_spike_penalty': 0.0}",sort puzzle::puzzle::sort::supermarket::levels::broad,2026-06-04,single_appstorespy_query_no_country_language,6,supermarket,0.4492,26213,310000,50000.0,0.0
0.0,['baseline_only'],2026-06-04:block_puzzle_match_abstract_levels_men_18_35:e1b39fb61e:last_180d,REJECTED,3,men_18_35,7496.67,4.6,-release_date,match,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 5.85, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],80.85,0.0,google_play::block puzzle::puzzle::match::abstract::levels::men_18_35::low,0.0,False,0,puzzle,levels,500,0.0,3,block puzzle,77.45,google_play,0,low,"['demand_signal', 'fresh_successes', 'monetization_signal', 'small_team_fit']",3,last_180d,"{'demand': 21.76, 'freshness': 15.0, 'revenue': 14.1, 'rating': 8.8, 'production': 14.0, 'data_quality': 16.17, 'competition_penalty': 12.38, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",block puzzle::puzzle::match::abstract::levels::men_18_35,2026-06-04,single_appstorespy_query_no_country_language,3,abstract,0.7463,22490,10000,50000.0,0.0
0.0,['baseline_only'],2026-06-04:sort_puzzle_collect_abstract_collection_broad:60b8087310:last_180d,REJECTED,2,broad,13898.5,4.7,-release_date,collect,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 13.33, 'signal_diversity': 7.52, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}","['low_sample_size', 'no_history']",75.85,0.0,google_play::sort puzzle::puzzle::collect::abstract::collection::broad::low,0.0,False,0,puzzle,collection,500,0.0,2,sort puzzle,76.89,google_play,0,low,"['demand_signal', 'fresh_successes', 'monetization_signal', 'small_team_fit']",2,last_180d,"{'demand': 22.22, 'freshness': 15.0, 'revenue': 12.0, 'rating': 8.0, 'production': 14.0, 'data_quality': 15.17, 'competition_penalty': 9.5, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",sort puzzle::puzzle::collect::abstract::collection::broad,2026-06-04,single_appstorespy_query_no_country_language,2,abstract,0.6741,27797,800000,10000.0,0.0
0.0,"['baseline_only', 'high_production_complexity']",2026-06-04:other_other_other_none_broad:09d61476fe:last_180d,REJECTED,75,broad,2917.19,4.12,-release_date,other,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 15.0, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],90.0,0.0233,google_play::other::casual::other::other::none::broad::high,0.0,False,0,casual,none,500,0.0,75,other,76.8,google_play,0,high,"['fresh_successes', 'high_demand', 'high_production_complexity', 'monetization_signal']",70,last_180d,"{'demand': 25.0, 'freshness': 15.0, 'revenue': 15.0, 'rating': 7.36, 'production': 3.0, 'data_quality': 18.0, 'competition_penalty': 5.98, 'giant_risk_penalty': 0.58, 'paid_spike_penalty': 0.0}",other::casual::other::other::none::broad,2026-06-04,single_appstorespy_query_no_country_language,75,other,0.1224,218789,2272000,363000.0,0.0
0.0,['baseline_only'],2026-06-04:idle_tycoon_idle_other_none_unknown:8816077629:last_180d,REJECTED,7,unknown,8257.57,3.95,-release_date,idle,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 11.13, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],86.13,0.0,google_play::idle tycoon::simulation::idle::other::none::unknown::medium,0.0,False,0,simulation,none,500,0.0,7,idle tycoon,76.39,google_play,0,medium,"['fresh_successes', 'high_demand', 'monetization_signal']",6,last_180d,"{'demand': 23.81, 'freshness': 15.0, 'revenue': 15.0, 'rating': 6.0, 'production': 7.0, 'data_quality': 17.23, 'competition_penalty': 7.64, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",idle tycoon::simulation::idle::other::none::unknown,2026-06-04,single_appstorespy_query_no_country_language,7,other,0.5176,57803,1540000,130000.0,0.0
0.0,"['baseline_only', 'high_production_complexity']",2026-06-04:other_other_animals_none_unknown:92a3cf787c:last_180d,REJECTED,29,unknown,4941.07,4.0,-release_date,other,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 15.0, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],90.0,0.0081,google_play::other::other::other::animals::none::unknown::high,0.0,False,0,other,none,500,0.0,29,other,75.27,google_play,0,high,"['fresh_successes', 'high_demand', 'high_production_complexity', 'monetization_signal']",27,last_180d,"{'demand': 25.0, 'freshness': 15.0, 'revenue': 15.0, 'rating': 6.4, 'production': 3.0, 'data_quality': 18.0, 'competition_penalty': 6.93, 'giant_risk_penalty': 0.2, 'paid_spike_penalty': 0.0}",other::other::other::animals::none::unknown,2026-06-04,single_appstorespy_query_no_country_language,29,animals,0.241,143291,1860000,800000.0,0.0
0.0,"['baseline_only', 'high_production_complexity']",2026-06-04:other_collect_social_collection_broad:39d5fd2da8:last_180d,REJECTED,7,broad,24099.57,4.8,-release_date,collect,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 12.18, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],87.18,0.0086,google_play::other::casual::collect::social::collection::broad::high,0.0,False,0,casual,collection,500,0.0,7,other,75.14,google_play,0,high,"['fresh_successes', 'high_demand', 'high_production_complexity', 'monetization_signal']",7,last_180d,"{'demand': 25.0, 'freshness': 15.0, 'revenue': 15.0, 'rating': 7.2, 'production': 3.0, 'data_quality': 17.44, 'competition_penalty': 7.28, 'giant_risk_penalty': 0.21, 'paid_spike_penalty': 0.0}",other::casual::collect::social::collection::broad,2026-06-04,single_appstorespy_query_no_country_language,7,social,0.4723,168697,100000,800000.0,0.0
0.0,"['baseline_only', 'high_production_complexity']",2026-06-04:sandbox_collect_abstract_collection_broad:05b99e3744:last_180d,REJECTED,5,broad,9213.0,4.62,-release_date,collect,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 14.03, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],89.03,0.0,google_play::sandbox::puzzle::collect::abstract::collection::broad::high,0.0,False,0,puzzle,collection,500,0.0,5,sandbox,75.13,google_play,0,high,"['demand_signal', 'fresh_successes', 'high_production_complexity', 'monetization_signal']",5,last_180d,"{'demand': 23.32, 'freshness': 15.0, 'revenue': 15.0, 'rating': 8.64, 'production': 1.0, 'data_quality': 17.81, 'competition_penalty': 5.64, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",sandbox::puzzle::collect::abstract::collection::broad,2026-06-04,single_appstorespy_query_no_country_language,5,abstract,0.392,46065,1500000,2047000.0,0.0
0.0,"['baseline_only', 'high_production_complexity']",2026-06-04:other_match_abstract_levels_broad:7fdc9ec751:last_180d,REJECTED,5,broad,2654.6,4.4,-release_date,match,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 13.45, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],88.45,0.0,google_play::other::puzzle::match::abstract::levels::broad::high,0.0,False,0,puzzle,levels,500,0.0,5,other,74.93,google_play,0,high,"['demand_signal', 'fresh_successes', 'high_production_complexity', 'monetization_signal']",5,last_180d,"{'demand': 20.62, 'freshness': 15.0, 'revenue': 14.86, 'rating': 9.6, 'production': 3.0, 'data_quality': 17.69, 'competition_penalty': 5.84, 'giant_risk_penalty': 0.0, 'paid_spike_penalty': 0.0}",other::puzzle::match::abstract::levels::broad,2026-06-04,single_appstorespy_query_no_country_language,5,abstract,0.4172,13273,100000,90000.0,0.0
0.0,"['baseline_only', 'high_production_complexity']",2026-06-04:other_other_other_none_men_18_35:65058187b4:last_180d,REJECTED,21,men_18_35,5819.1,4.65,-release_date,other,"{'field_completeness': 35.0, 'history_depth': 0.0, 'sample_size': 20.0, 'signal_diversity': 12.24, 'monetization_reliability': 10.0, 'fresh_success_reliability': 10.0, 'penalty': 0.0}",['no_history'],87.24,0.0101,google_play::other::other::other::other::none::men_18_35::high,0.0,False,0,other,none,500,0.0,21,other,74.84,google_play,0,high,"['fresh_successes', 'high_demand', 'high_production_complexity', 'monetization_signal']",20,last_180d,"{'demand': 25.0, 'freshness': 15.0, 'revenue': 15.0, 'rating': 8.4, 'production': 3.0, 'data_quality': 17.45, 'competition_penalty': 8.76, 'giant_risk_penalty': 0.25, 'paid_spike_penalty': 0.0}",other::other::other::other::none::men_18_35,2026-06-04,single_appstorespy_query_no_country_language,21,other,0.4697,122201,856000,200000.0,0.0
